_id,id,text,label,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc2e),1.12E+18,Braithwaite Monitoring the local river levels in Braithwaite for the flood group https://t.co/oezWkBkWAg,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc30),1.12E+18,Braithwaite Monitoring the local river levels in Braithwaite for the flood group https://t.co/1J59YrALjl,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc33),1.12E+18,MKX continues Flood Warning for Fox River near Berlin [WI] until further notice https://t.co/GQN1mRujUP,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc35),1.12E+18,ILX cancels Flood Warning for Embarras River at Lawrenceville [IL] https://t.co/1z4zy6Ew9h,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc37),1.12E+18,ILX cancels Flood Warning for Embarras River at Lawrenceville [IL] https://t.co/LO7HapMgN8,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc44),1.12E+18,Braithwaite Monitoring the local river levels in Braithwaite for the flood group https://t.co/cNO26JSCDc,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc46),1.12E+18,Braithwaite Monitoring the local river levels in Braithwaite for the flood group https://t.co/CsDiQHaBsD,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc48),1.12E+18,"ARX continues Flood Warning valid at Apr 18, 5:24 AM CDT for Wisconsin River at Castle Rock Dam [WI] till Apr 23, 7:00 AM CDT https://t.co/m5j5ahPFwQ",0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc4a),1.12E+18,A flood warning remains in effect for the Mattawamkeag River at Mattawamkeag. #mewx https://t.co/g46zQ49cmw https://t.co/84bFs9pwTQ,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc4c),1.12E+18,"ARX continues Flood Warning valid at Apr 18, 5:30 PM CDT for Yellow River at Necedah [WI] till Apr 23, 7:00 AM CDT https://t.co/SwsT5u07jQ",0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc4d),1.12E+18,"ARX extends time of Flood Warning valid at Apr 17, 6:10 AM CDT for Black River at Black River Falls [WI] till Apr 20, 9:00 AM CDT https://t.co/zwjHLBlNoU",0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc4f),1.12E+18,"ARX continues Flood Warning valid at Apr 18, 1:00 PM CDT for Trempealeau River at Dodge [WI] till Apr 21, 5:00 PM CDT https://t.co/Q2quYSIDdv",0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc51),1.12E+18,Flood warning for the Connecticut River. @DanAmarante is tracking the trouble and when things will crest. Details 4-11 on @FOX61News,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc53),1.12E+18,"Some areas could see over an inch of rain the next 24 hours, which could keep river levels up. We'll have to keep an eye on flood impacts, but luckily it looks drier into next week. https://t.co/bbG8M0Goln",0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc57),1.12E+18,Braithwaite Monitoring the local river levels in Braithwaite for the flood group https://t.co/xQbCQqGtOv,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc59),1.12E+18,Braithwaite Monitoring the local river levels in Braithwaite for the flood group https://t.co/oAZFkfA9NS,0,,,,,,,,
ObjectId(5cb6f7a55e7539387083dc5d),1.12E+18,"GYX continues Flood Warning for Connecticut River near Dalton [NH] till Apr 18, 10:00 AM EDT https://t.co/U2ynbYSRiK",0,,,,,,,,
