_id,id,text,label
ObjectId(5cb6f7a35e7539387083d9e7),1.12E+18,I'm glad to see so many IF's were at the german concert,1
ObjectId(5cb6f7a35e7539387083d9e8),1.12E+18,"Got a bit excited at the @ShawnMendes concert last night and deleted my pe gcse coursework so i had storage to film
#gcse #shawnmendes #ShawnMendesTheTourLondon #shawnmendeslondon",1
ObjectId(5cb6f7a35e7539387083d9e9),1.12E+18,"Gusto kong manuod ng concert ni Kisses. Alam kong soldout na but I really wanna see her happy, I know she will be genuinely happy that night huehue. @KissesDelavin 

#ALifeFullofKISSES8DaysToGo",0
ObjectId(5cb6f7a35e7539387083d9ea),1.12E+18,"The concert lasted for 19 minutes and 34 seconds. Their next tour, titled Nightmare Tour 2009 Parade ~ Start of [X]pest Eve~ began in June.",0
ObjectId(5cb6f7a35e7539387083d9eb),1.12E+18,i hope bp have a great first concert and i also hope everyone attending has a lot of fun!!,0
ObjectId(5cb6f7a35e7539387083d9ec),1.12E+18,"This year's BBC Proms will feature DJs, rappers, hip hop and break dancers alongside traditional classical performers in controversial bid to 'bring concert into 2019'
via https://t.co/txSl9NihJA #theproms https://t.co/jCcRSoNmz7",0
ObjectId(5cb6f7a35e7539387083d9ed),1.12E+18,@jimmyfallon I went to a Onerepublic concert and the teenagers in front of me got wasted and puked in the grass. The rest of the concert I got to watch people slip and slide through puke. #concertfail,1
ObjectId(5cb6f7a35e7539387083d9ee),1.12E+18,"Join us on Easter Sunday for ASANTE - an African Praise Concert.
Date - Sun 21st April, 2019
Venue - The Covenant Place, Iganmu (Beside the National Arts Theatre)
Time -_ https://t.co/ZBf9Qh4RSM",0
ObjectId(5cb6f7a35e7539387083d9ef),1.12E+18,"Is tonight__ @samsmith__ concert on ? I hope he__ doing alright _¥º_¤ï_
@BigConcerts",0
ObjectId(5cb6f7a35e7539387083d9f0),1.12E+18,"[HQ] 181014 BBQ Concert #JUNGWOO #___ #NCT #NCT127 #NCT127_Regular #NCT127_Regular_Irregular __

Â© Midnight Fantasy https://t.co/pR65THI2Xt",0
ObjectId(5cb6f7a35e7539387083d9f1),1.12E+18,#BeyoncÃ©Homecoming really gave us 40 Concert version ________ Queen https://t.co/CiVnaZE1ue,0
ObjectId(5cb6f7a35e7539387083d9f2),1.12E+18,im so sad today is bp__ first concert in LA and i couldn__ even get tickets when they went on sale i hope the girls come back again i really wanna see them live __,0
ObjectId(5cb6f7a35e7539387083d9f3),1.12E+18,Check out Concert for New York City CD Set  #Music  https://t.co/rX8cGJnKu3 @eBay,0
ObjectId(5cb6f7a35e7539387083d9f4),1.12E+18,@gen_X_tuanMark I didn't have to go abroad to watch kpop concert!! Yeay! But I'd love to go to TH oneday!,0
ObjectId(5cb6f7a35e7539387083d9f5),1.12E+18,"[__] 2019 LAI KUANLIN Fan Meeting [Good Feeling] In BANGKOK

__ATE : 2019.04.20. (SAT) 6PM
__ENUE : THUNDER DOME, MUANG THONG THANI
__ICKET : https://t.co/kQOycm6Vpx

#_¼ì_ê´ë¦ #LAI_KUANLIN
#LAIKUANLINGoodFeelingInBANGKOK #Good_Feeling https://t.co/ds2KRgKMoa",0
ObjectId(5cb6f7a35e7539387083d9f6),1.12E+18,"Hi! I'm in TOP10 tastemakers on concert SF9 in Warsaw and have 2 VIP tickets (it will be really near scene). Who want go with me on concert? If someone interesting write me DM.
#SF9inWarsaw",0
ObjectId(5cb6f7a35e7539387083d9f7),1.12E+18,L__ 1st concert take that 2019 @AbbeysU3 @AbbeyLearning https://t.co/APSx1XLjlK,0
ObjectId(5cb6f7a35e7539387083d9f8),1.12E+18,@sugainkookie @BTS_twt Dont worry dear...we go to their concert together!,0
ObjectId(5cb6f7a35e7539387083d9f9),1.12E+18,BIGHIT IS COMING TO SYDNEY ON MY BIRTHDAY FOR AUDITIONS AND BTS SCHEDULE IS ALSO FREE THEN AND WHAT IF BTS END UP RELEASING TOUR DATES FOR AUSTRALIA ON MY BIRTHDAY AND I GET TO SEE THEM ON MY BIRTHDAY FOR A CONCERT ON MY BIRTHDAY,0
ObjectId(5cb6f7a35e7539387083d9fa),1.12E+18,The saddest thing though is that this incredible cast will be wasted on that stupid poop box of a concert hall :-( https://t.co/PpB5V508RA,0
ObjectId(5cb6f7a35e7539387083d9fb),1.12E+18,@SamiYusuf @oicfabudhabi Best wishes for your concert ______ from Pakistan ____________,0
ObjectId(5cb6f7a35e7539387083d9fc),1.12E+18,thank god i just bought some good headphones this concert sounds ace with them ______#Arohanui,0
ObjectId(5cb6f7a35e7539387083d9fd),1.12E+18,"thinking back now six60 singing ""vibes"" probs wasn't the best song to sing at a fundraiser concert for the victims of the shooting in christchurch lol...",0
ObjectId(5cb6f7a35e7539387083d9fe),1.12E+18,"_ meet up during the concert 
_ postage will only be done after the concert [+ RM8]",0
ObjectId(5cb6f7a35e7539387083d9ff),1.12E+18,"But long story short, Tony accepted the job. And had to accompany Dr Shierly touring for his concert.",0
ObjectId(5cb6f7a35e7539387083da00),1.12E+18,I will watch the concert later. #MagicalCircus_D2 #MagicalEncoreCBX @weareoneEXO @B_hundred_Hyun @layzhang,0
ObjectId(5cb6f7a35e7539387083da01),1.12E+18,"I know concerts are particularly good for the atmosphere, but it__ a pretty good atmosphere sharing the concert with you all via Twitter __
#arohanui",1
ObjectId(5cb6f7a35e7539387083da02),1.12E+18,@scotthoying SOUND OF SILENCE!!!!! ____pleeeeeaaassseee come to Birmingham in the uk it would mean the most to go to my first concert ____,1
ObjectId(5cb6f7a35e7539387083da03),1.12E+18,No should ever take me to a BeyoncÃ© concert. I swear I__ be losing my composure just watching Homecoming. __,1
ObjectId(5cb6f7a35e7539387083da04),1.12E+18,in the shmood to be at an outdoor concert in the sunny weather drinking shitey overpriced alcohol ______,1
ObjectId(5cb6f7a35e7539387083da05),1.12E+18,"Selling concert ticket:
2019 MAMAMOO Concert 
&lt;4 Season F/W&gt;
Date: 2019.04.19-2019.04.21
Place: Jangchung Arena

Ticket details:
Date: 20.04
Standing zone: YELLOW
Ticket no: 28n
Price: 110.000krw

#MAMAMOO #4Season_FW
 #MAMAMOOticket
#MAMAMOOinseoul #ë§_ë¬´ì____
#ë§_ë¬ https://t.co/UmtmoHmPVE",0
ObjectId(5cb6f7a35e7539387083da06),1.12E+18,"@adamlambert @QueenWillRock When will Manchester uk be announced, it__ my 50th year and hope to be able to see you in concert , it will really make my special year #50th year celebrations",0
ObjectId(5cb6f7a35e7539387083da07),1.12E+18,"@thenanaaba @DBLACKGH Be like this concert be ""a night of a 1000 laughs "" _¤£",0
ObjectId(5cb6f7a35e7539387083da08),1.12E+18,"Yeeeee! Ebichu x Dempa tickets get!!

Last concert we went to was Momoclo back in New York so this should be a real good time https://t.co/QVdoGSuY2Z",1
ObjectId(5cb6f7a35e7539387083da09),1.12E+18,Shihad: You Are Us - Aroha Nui concert. Phil's nerves. https://t.co/9pnhh5zIpR,0
ObjectId(5cb6f7a35e7539387083da0a),1.12E+18,Hear the full 60min concert w/ #DiscoFuneral from @railwaySBC #Podcast Friday Nights Vol.19! #LiveMusic ##Indie #Vancouver https://t.co/vchurxnv4P https://t.co/QfMfwPQg1l,0
ObjectId(5cb6f7a35e7539387083da0b),1.12E+18,@DrBron @irisherself @Sillywithsad @fuchskusu Trautonium concert next. https://t.co/nbayTrgeu8,1
ObjectId(5cb6f7a35e7539387083da0c),1.12E+18,"Join the Chapel Choir tonight for an evening of music: Bach__ Mass in B minor, taking place in the #Chapel from 7pm #HolyWeek #Easter
https://t.co/Fig9kNELv9",0
ObjectId(5cb6f7a35e7539387083da0d),1.12E+18,"If you__e old enough to remember taping a song on the radio, &amp; having the DJ talk over the beginning &amp; end- 
That__ what it__ like trying to watch the #theyareus_#arohanui concert.
They just showed Mike King for the first time in an hour- maybe they__e reading our tweets __ https://t.co/DTythE90KW",0
ObjectId(5cb6f7a35e7539387083da0e),1.12E+18,@JAYBUMAOM Please make a world tour and come in France Jay! I've never had the chance to see any of your concert TwT ________________,0
ObjectId(5cb6f7a35e7539387083da0f),1.12E+18,@yasitssaab aaaargh lapit na concert:&lt;,0
